comparison,median_rho,minimum_rho,maximum_rho
EBM vs TabPFNv3,0.7508342602892103,0.7459399332591768,0.7744160177975528
EBM vs XGBoost,0.8985539488320357,0.8936596218020022,0.9065628476084538
XGBoost vs TabPFNv3,0.8812013348164627,0.8576195773081201,0.8843159065628475
