run,model_seed,background_seed,explanation_seed,explainer_seed,model,model_label,feature,feature_label,mean_absolute_effect,rank
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,GLU+100%mean,Glucose,0.09251057355548929,21.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,HCO3+100%mean,Bicarbonate,0.09122537308933452,22.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Height+100%mean,Height,0.09027263201210861,23.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,PaO2+100%mean,Partial Pressure of O2,0.08689417028040164,24.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Hb+100%mean,Hemoglobin,0.07375017947853733,25.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Bilirubin+100%mean,Bilirubin,0.07269129004314831,26.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,RR+100%mean,Respiratory Rate,0.0662859681551917,27.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Weight+100%mean,Weight,0.058819210322040676,28.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Bmi+100%mean,BMI,0.054382736111211735,29.0
1,1337,2337,5337,3337,tabpfn-3,TabPFNv3,Sex,Sex,0.03278846734823883,30.0
1,1337,2337,5337,3337,xgboost,XGBoost,Lactate+100%mean,Lactate,0.5355351567268372,1.0
1,1337,2337,5337,3337,xgboost,XGBoost,FiO2+100%mean,Fraction of Inspired Oxygen,0.5097002983093262,2.0
1,1337,2337,5337,3337,xgboost,XGBoost,GCST+100%mean,Glasgow Coma Scale,0.3039432764053345,3.0
1,1337,2337,5337,3337,xgboost,XGBoost,Natrium+100%mean,Sodium,0.21251535415649414,4.0
1,1337,2337,5337,3337,xgboost,XGBoost,Urea+100%mean,Urea,0.1834593564271927,5.0
1,1337,2337,5337,3337,xgboost,XGBoost,Temp+100%mean,Temperature,0.1685522198677063,6.0
1,1337,2337,5337,3337,xgboost,XGBoost,Age,Age,0.16474811732769012,7.0
1,1337,2337,5337,3337,xgboost,XGBoost,Leukocyten+100%mean,Leukocytes,0.13959988951683044,8.0
1,1337,2337,5337,3337,xgboost,XGBoost,HR+100%mean,Heart Rate,0.12335585802793503,9.0
1,1337,2337,5337,3337,xgboost,XGBoost,Quick+100%mean,Prothrombin Time,0.12178320437669754,10.0
1,1337,2337,5337,3337,xgboost,XGBoost,Thrombocyten+100%mean,Thrombocyten,0.12090896815061569,11.0
1,1337,2337,5337,3337,xgboost,XGBoost,Kalium+100%mean,Potassium,0.10306701064109802,12.0
1,1337,2337,5337,3337,xgboost,XGBoost,Ph+100%mean,Potential Hydrogen,0.08922925591468811,13.0
1,1337,2337,5337,3337,xgboost,XGBoost,PaCO2+100%mean,Partial Pressure of CO2,0.08656198531389236,14.0
1,1337,2337,5337,3337,xgboost,XGBoost,Albumin+100%mean,Albumin,0.08593900501728058,15.0
1,1337,2337,5337,3337,xgboost,XGBoost,Kreatinin+100%mean,Creatinine,0.08406244218349457,16.0
1,1337,2337,5337,3337,xgboost,XGBoost,Bmi+100%mean,BMI,0.06852447241544724,17.0
1,1337,2337,5337,3337,xgboost,XGBoost,MBP+100%mean,Mean Blood Pressure,0.06535236537456512,18.0
1,1337,2337,5337,3337,xgboost,XGBoost,HCO3+100%mean,Bicarbonate,0.063103087246418,19.0
1,1337,2337,5337,3337,xgboost,XGBoost,ASAT+100%mean,ASAT,0.058051321655511856,20.0
1,1337,2337,5337,3337,xgboost,XGBoost,GLU+100%mean,Glucose,0.05691514164209366,21.0
1,1337,2337,5337,3337,xgboost,XGBoost,AnionGAP+100%mean,Anion Gap,0.049228738993406296,22.0
1,1337,2337,5337,3337,xgboost,XGBoost,Weight+100%mean,Weight,0.04877600818872452,23.0
1,1337,2337,5337,3337,xgboost,XGBoost,RR+100%mean,Respiratory Rate,0.046404287219047546,24.0
1,1337,2337,5337,3337,xgboost,XGBoost,Bilirubin+100%mean,Bilirubin,0.04501490667462349,25.0
1,1337,2337,5337,3337,xgboost,XGBoost,Hb+100%mean,Hemoglobin,0.044587280601263046,26.0
1,1337,2337,5337,3337,xgboost,XGBoost,PaO2+100%mean,Partial Pressure of O2,0.04403683915734291,27.0
1,1337,2337,5337,3337,xgboost,XGBoost,Height+100%mean,Height,0.028004437685012817,28.0
1,1337,2337,5337,3337,xgboost,XGBoost,ALAT+100%mean,ALAT,0.027136044576764107,29.0
1,1337,2337,5337,3337,xgboost,XGBoost,Sex,Sex,0.00679432088509202,30.0
2,1338,2338,5337,3338,ebm,EBM,FiO2+100%mean,Fraction of Inspired Oxygen,0.5544978150277992,1.0
2,1338,2338,5337,3338,ebm,EBM,GCST+100%mean,Glasgow Coma Scale,0.4106796605599792,2.0
2,1338,2338,5337,3338,ebm,EBM,Lactate+100%mean,Lactate,0.3628901893019002,3.0
2,1338,2338,5337,3338,ebm,EBM,Natrium+100%mean,Sodium,0.17976060020399445,4.0
2,1338,2338,5337,3338,ebm,EBM,Albumin+100%mean,Albumin,0.16778801201497495,5.0
2,1338,2338,5337,3338,ebm,EBM,Temp+100%mean,Temperature,0.1655726340127956,6.0
2,1338,2338,5337,3338,ebm,EBM,Age,Age,0.16497095003119394,7.0
2,1338,2338,5337,3338,ebm,EBM,Ph+100%mean,Potential Hydrogen,0.15700691275053774,8.0
2,1338,2338,5337,3338,ebm,EBM,Thrombocyten+100%mean,Thrombocyten,0.1547707197950914,9.0
2,1338,2338,5337,3338,ebm,EBM,Urea+100%mean,Urea,0.14867211445331843,10.0
2,1338,2338,5337,3338,ebm,EBM,Bmi+100%mean,BMI,0.1431035454409804,11.0
2,1338,2338,5337,3338,ebm,EBM,Leukocyten+100%mean,Leukocytes,0.1400466462782358,12.0
2,1338,2338,5337,3338,ebm,EBM,MBP+100%mean,Mean Blood Pressure,0.11982286954602087,13.0
2,1338,2338,5337,3338,ebm,EBM,HR+100%mean,Heart Rate,0.10443108264470861,14.0
2,1338,2338,5337,3338,ebm,EBM,Kalium+100%mean,Potassium,0.101982052090076,15.0
2,1338,2338,5337,3338,ebm,EBM,Quick+100%mean,Prothrombin Time,0.09381504232245072,16.0
2,1338,2338,5337,3338,ebm,EBM,Kreatinin+100%mean,Creatinine,0.09341882677710153,17.0
2,1338,2338,5337,3338,ebm,EBM,PaCO2+100%mean,Partial Pressure of CO2,0.07275338345112035,18.0
2,1338,2338,5337,3338,ebm,EBM,GLU+100%mean,Glucose,0.06811314635976122,19.0
2,1338,2338,5337,3338,ebm,EBM,Hb+100%mean,Hemoglobin,0.06733338757551552,20.0
2,1338,2338,5337,3338,ebm,EBM,Bilirubin+100%mean,Bilirubin,0.06403693923964675,21.0
2,1338,2338,5337,3338,ebm,EBM,Weight+100%mean,Weight,0.06102519217548209,22.0
2,1338,2338,5337,3338,ebm,EBM,AnionGAP+100%mean,Anion Gap,0.05884817829520006,23.0
2,1338,2338,5337,3338,ebm,EBM,ASAT+100%mean,ASAT,0.0547134165649884,24.0
2,1338,2338,5337,3338,ebm,EBM,RR+100%mean,Respiratory Rate,0.05327665647394265,25.0
2,1338,2338,5337,3338,ebm,EBM,PaO2+100%mean,Partial Pressure of O2,0.04849981994542189,26.0
2,1338,2338,5337,3338,ebm,EBM,HCO3+100%mean,Bicarbonate,0.043428059727056864,27.0
2,1338,2338,5337,3338,ebm,EBM,Height+100%mean,Height,0.0371459283833485,28.0
2,1338,2338,5337,3338,ebm,EBM,ALAT+100%mean,ALAT,0.032405032611153683,29.0
2,1338,2338,5337,3338,ebm,EBM,Sex,Sex,0.026638666231049282,30.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,FiO2+100%mean,Fraction of Inspired Oxygen,0.5703033209250956,1.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Lactate+100%mean,Lactate,0.4853878315617596,2.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,GCST+100%mean,Glasgow Coma Scale,0.37108214717846444,3.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Age,Age,0.28810751971606324,4.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Natrium+100%mean,Sodium,0.25162628697018563,5.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Leukocyten+100%mean,Leukocytes,0.24650402578942412,6.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Thrombocyten+100%mean,Thrombocyten,0.2318601978526701,7.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Temp+100%mean,Temperature,0.2210450458941845,8.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Urea+100%mean,Urea,0.21501188178015046,9.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,PaCO2+100%mean,Partial Pressure of CO2,0.17366381883653723,10.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Quick+100%mean,Prothrombin Time,0.16764021526662698,11.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Kreatinin+100%mean,Creatinine,0.15885967273761692,12.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,ASAT+100%mean,ASAT,0.15179274155520817,13.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,HR+100%mean,Heart Rate,0.1402085777638753,14.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Kalium+100%mean,Potassium,0.1343716699166432,15.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,MBP+100%mean,Mean Blood Pressure,0.12459732749520444,16.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Albumin+100%mean,Albumin,0.11874939087678106,17.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Ph+100%mean,Potential Hydrogen,0.11842934927462834,18.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,AnionGAP+100%mean,Anion Gap,0.10031321232883258,19.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Height+100%mean,Height,0.09591941751227374,20.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,ALAT+100%mean,ALAT,0.09447835110018585,21.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,HCO3+100%mean,Bicarbonate,0.09321679062448757,22.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,GLU+100%mean,Glucose,0.09211489706514975,23.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,PaO2+100%mean,Partial Pressure of O2,0.08401109969572462,24.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Hb+100%mean,Hemoglobin,0.08099887345346796,25.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Bilirubin+100%mean,Bilirubin,0.07026242418990501,26.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Weight+100%mean,Weight,0.0693829387821359,27.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,RR+100%mean,Respiratory Rate,0.062155741924474206,28.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Bmi+100%mean,BMI,0.05998639618985353,29.0
2,1338,2338,5337,3338,tabpfn-3,TabPFNv3,Sex,Sex,0.03268326828897318,30.0
2,1338,2338,5337,3338,xgboost,XGBoost,Lactate+100%mean,Lactate,0.5375580191612244,1.0
2,1338,2338,5337,3338,xgboost,XGBoost,FiO2+100%mean,Fraction of Inspired Oxygen,0.507510781288147,2.0
2,1338,2338,5337,3338,xgboost,XGBoost,GCST+100%mean,Glasgow Coma Scale,0.2991991639137268,3.0
2,1338,2338,5337,3338,xgboost,XGBoost,Natrium+100%mean,Sodium,0.21419669687747955,4.0
2,1338,2338,5337,3338,xgboost,XGBoost,Urea+100%mean,Urea,0.1796945184469223,5.0
2,1338,2338,5337,3338,xgboost,XGBoost,Temp+100%mean,Temperature,0.17101451754570007,6.0
2,1338,2338,5337,3338,xgboost,XGBoost,Age,Age,0.16305214166641235,7.0
2,1338,2338,5337,3338,xgboost,XGBoost,Leukocyten+100%mean,Leukocytes,0.13878825306892395,8.0
2,1338,2338,5337,3338,xgboost,XGBoost,HR+100%mean,Heart Rate,0.1291172355413437,9.0
2,1338,2338,5337,3338,xgboost,XGBoost,Quick+100%mean,Prothrombin Time,0.12069565057754517,10.0
2,1338,2338,5337,3338,xgboost,XGBoost,Thrombocyten+100%mean,Thrombocyten,0.11417136341333389,11.0
2,1338,2338,5337,3338,xgboost,XGBoost,Kalium+100%mean,Potassium,0.10195393115282059,12.0
2,1338,2338,5337,3338,xgboost,XGBoost,Ph+100%mean,Potential Hydrogen,0.09010879695415497,13.0
2,1338,2338,5337,3338,xgboost,XGBoost,PaCO2+100%mean,Partial Pressure of CO2,0.08918886631727219,14.0
2,1338,2338,5337,3338,xgboost,XGBoost,Albumin+100%mean,Albumin,0.0888662114739418,15.0
2,1338,2338,5337,3338,xgboost,XGBoost,Kreatinin+100%mean,Creatinine,0.08385413140058517,16.0
2,1338,2338,5337,3338,xgboost,XGBoost,Bmi+100%mean,BMI,0.07208547741174698,17.0
2,1338,2338,5337,3338,xgboost,XGBoost,MBP+100%mean,Mean Blood Pressure,0.06783685088157654,18.0
2,1338,2338,5337,3338,xgboost,XGBoost,HCO3+100%mean,Bicarbonate,0.06673213094472885,19.0
2,1338,2338,5337,3338,xgboost,XGBoost,ASAT+100%mean,ASAT,0.059918999671936035,20.0
2,1338,2338,5337,3338,xgboost,XGBoost,GLU+100%mean,Glucose,0.05570586770772934,21.0
2,1338,2338,5337,3338,xgboost,XGBoost,AnionGAP+100%mean,Anion Gap,0.05035080760717392,22.0
2,1338,2338,5337,3338,xgboost,XGBoost,RR+100%mean,Respiratory Rate,0.04720284417271614,23.0
2,1338,2338,5337,3338,xgboost,XGBoost,Weight+100%mean,Weight,0.046186663210392,24.0
2,1338,2338,5337,3338,xgboost,XGBoost,Hb+100%mean,Hemoglobin,0.04504872485995293,25.0
2,1338,2338,5337,3338,xgboost,XGBoost,PaO2+100%mean,Partial Pressure of O2,0.04420509189367294,26.0
2,1338,2338,5337,3338,xgboost,XGBoost,Bilirubin+100%mean,Bilirubin,0.04386785626411438,27.0
2,1338,2338,5337,3338,xgboost,XGBoost,Height+100%mean,Height,0.026827888563275337,28.0
2,1338,2338,5337,3338,xgboost,XGBoost,ALAT+100%mean,ALAT,0.026425816118717194,29.0
2,1338,2338,5337,3338,xgboost,XGBoost,Sex,Sex,0.0058227782137691975,30.0
3,1339,2339,5337,3339,ebm,EBM,FiO2+100%mean,Fraction of Inspired Oxygen,0.562242099333795,1.0
3,1339,2339,5337,3339,ebm,EBM,GCST+100%mean,Glasgow Coma Scale,0.42090852723780786,2.0
3,1339,2339,5337,3339,ebm,EBM,Lactate+100%mean,Lactate,0.368005621984802,3.0
3,1339,2339,5337,3339,ebm,EBM,Natrium+100%mean,Sodium,0.18669853644248333,4.0
3,1339,2339,5337,3339,ebm,EBM,Age,Age,0.16147105277023385,5.0
3,1339,2339,5337,3339,ebm,EBM,Temp+100%mean,Temperature,0.15987999327527452,6.0
3,1339,2339,5337,3339,ebm,EBM,Urea+100%mean,Urea,0.15490066764597119,7.0
3,1339,2339,5337,3339,ebm,EBM,Ph+100%mean,Potential Hydrogen,0.1498869745919964,8.0
3,1339,2339,5337,3339,ebm,EBM,Albumin+100%mean,Albumin,0.14851150842450186,9.0
3,1339,2339,5337,3339,ebm,EBM,Thrombocyten+100%mean,Thrombocyten,0.14438774902813448,10.0
3,1339,2339,5337,3339,ebm,EBM,Bmi+100%mean,BMI,0.13533685523745317,11.0
3,1339,2339,5337,3339,ebm,EBM,Leukocyten+100%mean,Leukocytes,0.13074652474154796,12.0
3,1339,2339,5337,3339,ebm,EBM,MBP+100%mean,Mean Blood Pressure,0.11512044661963934,13.0
3,1339,2339,5337,3339,ebm,EBM,Kalium+100%mean,Potassium,0.10109653488795549,14.0
3,1339,2339,5337,3339,ebm,EBM,HR+100%mean,Heart Rate,0.09953962657886474,15.0
3,1339,2339,5337,3339,ebm,EBM,Quick+100%mean,Prothrombin Time,0.08113227407022432,16.0
3,1339,2339,5337,3339,ebm,EBM,Kreatinin+100%mean,Creatinine,0.0758147639669796,17.0
3,1339,2339,5337,3339,ebm,EBM,PaCO2+100%mean,Partial Pressure of CO2,0.07505540545725516,18.0
3,1339,2339,5337,3339,ebm,EBM,GLU+100%mean,Glucose,0.06743155157199987,19.0
3,1339,2339,5337,3339,ebm,EBM,Bilirubin+100%mean,Bilirubin,0.06660322098439665,20.0
3,1339,2339,5337,3339,ebm,EBM,Hb+100%mean,Hemoglobin,0.061162462485422606,21.0
3,1339,2339,5337,3339,ebm,EBM,Weight+100%mean,Weight,0.05673407040339078,22.0
3,1339,2339,5337,3339,ebm,EBM,AnionGAP+100%mean,Anion Gap,0.0551368919709224,23.0
3,1339,2339,5337,3339,ebm,EBM,PaO2+100%mean,Partial Pressure of O2,0.04869417158537569,24.0
3,1339,2339,5337,3339,ebm,EBM,RR+100%mean,Respiratory Rate,0.045004286618041386,25.0
3,1339,2339,5337,3339,ebm,EBM,ASAT+100%mean,ASAT,0.043722295833253835,26.0
3,1339,2339,5337,3339,ebm,EBM,HCO3+100%mean,Bicarbonate,0.04018483220462481,27.0
3,1339,2339,5337,3339,ebm,EBM,Height+100%mean,Height,0.034499694377555824,28.0
3,1339,2339,5337,3339,ebm,EBM,ALAT+100%mean,ALAT,0.031978684723213566,29.0
3,1339,2339,5337,3339,ebm,EBM,Sex,Sex,0.02949439812884052,30.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,FiO2+100%mean,Fraction of Inspired Oxygen,0.5631758866374018,1.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Lactate+100%mean,Lactate,0.47108724603487184,2.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,GCST+100%mean,Glasgow Coma Scale,0.36986430360548533,3.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Age,Age,0.2717934828074469,4.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Natrium+100%mean,Sodium,0.2486141637035539,5.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Leukocyten+100%mean,Leukocytes,0.24223582588864326,6.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Urea+100%mean,Urea,0.2210437210297368,7.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Thrombocyten+100%mean,Thrombocyten,0.21236413080423483,8.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Temp+100%mean,Temperature,0.2033292713344083,9.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,PaCO2+100%mean,Partial Pressure of CO2,0.1715917187578558,10.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Quick+100%mean,Prothrombin Time,0.16824582575495686,11.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Kreatinin+100%mean,Creatinine,0.16772616205864185,12.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,HR+100%mean,Heart Rate,0.16388990799590028,13.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,ASAT+100%mean,ASAT,0.1427727369800595,14.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,MBP+100%mean,Mean Blood Pressure,0.1328726916980398,15.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Albumin+100%mean,Albumin,0.12573186047209473,16.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,PaO2+100%mean,Partial Pressure of O2,0.12452371846341569,17.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Ph+100%mean,Potential Hydrogen,0.12422690945114828,18.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,AnionGAP+100%mean,Anion Gap,0.09665709313950775,19.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,ALAT+100%mean,ALAT,0.0949089904676414,20.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,Kalium+100%mean,Potassium,0.09385972680997269,21.0
3,1339,2339,5337,3339,tabpfn-3,TabPFNv3,GLU+100%mean,Glucose,0.09216364317141836,22.0
