,EBM · run 1,EBM · run 2,EBM · run 3,XGBoost · run 1,XGBoost · run 2,XGBoost · run 3,TabPFNv3 · run 1,TabPFNv3 · run 2,TabPFNv3 · run 3
EBM · run 1,1.0,0.9875417130144605,0.9919911012235818,0.8985539488320355,0.8963292547274749,0.8909899888765295,0.7744160177975529,0.7583982202447164,0.7481646273637375
EBM · run 2,0.9875417130144605,1.0,0.9906562847608453,0.896774193548387,0.8936596218020022,0.8945494994438264,0.764182424916574,0.7459399332591768,0.7388209121245829
EBM · run 3,0.9919911012235818,0.9906562847608453,1.0,0.9083426028921023,0.9047830923248054,0.9065628476084538,0.7704115684093437,0.7530589543937709,0.7508342602892102
XGBoost · run 1,0.8985539488320355,0.896774193548387,0.9083426028921023,1.0,0.9982202447163515,0.9933259176863182,0.8843159065628476,0.8803114571746384,0.8545050055617353
XGBoost · run 2,0.8963292547274749,0.8936596218020022,0.9047830923248054,0.9982202447163515,1.0,0.9884315906562847,0.8860956618464961,0.8812013348164628,0.8589543937708565
XGBoost · run 3,0.8909899888765295,0.8945494994438264,0.9065628476084538,0.9933259176863182,0.9884315906562847,1.0,0.882091212458287,0.8829810901001113,0.8576195773081201
TabPFNv3 · run 1,0.7744160177975529,0.764182424916574,0.7704115684093437,0.8843159065628476,0.8860956618464961,0.882091212458287,1.0,0.9862068965517241,0.9733036707452726
TabPFNv3 · run 2,0.7583982202447164,0.7459399332591768,0.7530589543937709,0.8803114571746384,0.8812013348164628,0.8829810901001113,0.9862068965517241,1.0,0.9750834260289211
TabPFNv3 · run 3,0.7481646273637375,0.7388209121245829,0.7508342602892102,0.8545050055617353,0.8589543937708565,0.8576195773081201,0.9733036707452726,0.9750834260289211,1.0
