comparison,median_rho,minimum_rho,maximum_rho
EBM,0.9906562847608454,0.9875417130144604,0.9919911012235817
TabPFNv3,0.9750834260289211,0.9733036707452726,0.986206896551724
XGBoost,0.9933259176863181,0.9884315906562846,0.9982202447163514
